second name,first name,gender,birthday,floor,apartment
F1,N1,Male,2001-01-01,1,1
F1,N2,Female,2001-01-01,1,1
F1,N3,Male,2001-01-01,1,1
F2,N4,Male,2001-01-01,1,2
F2,N5,Female,2001-01-01,1,2
F2,N6,Male,2001-01-01,1,2
F2,N7,Female,2001-01-01,1,2
F3,N8,Male,2001-01-01,2,3
F3,N9,Female,2001-01-01,2,3
F4,N10,Male,2001-01-01,2,4
F4,N11,Female,2001-01-01,2,4
F4,N12,Female,2001-01-01,2,4
F4,N13,Female,2001-01-01,2,4
F4,N14,Male,2001-01-01,2,4
F5,N1,Female,2001-01-01,3,5
F6,N5,Male,2001-01-01,3,6
F6,N6,Female,2001-01-01,3,6
